50.5,50.5,50.5,50.5,50.625,50.5,50.5,50.5,50.5,50.375,50.375,50.375,50.5,50.5,50.5,50.75,50.875,51,51.375,51.5,51.375,51.5,52,52.125,52.25,52.25,52.25,52.125,52,51.75,51.625,51.5,51.375,51.125,50.875,50.75,50.5,50.375,50.25,50.125,50.125,50,49.875,49.75,49.75,49.875,49.875,49.875,49.875,49.875
49.5,49.5,49.5,49.5,49.625,49.75,49.875,50,49.875,50,50,50,50.25,50.625,51,51.25,51.625,51.75,52,52.5,52.875,53.25,53.875,54.125,54.25,54.125,53.625,53.5,53.125,52.75,52.375,52,51.75,51.625,51.25,51.125,50.875,50.625,50.625,50.375,50.375,50.375,50.375,50.375,50.25,50.125,50.25,50.25,50.5,50.5
48,47.875,47.75,47.75,47.875,48.125,48,48.125,48.375,48.5,48.75,49,49.25,49.375,49.25,49.625,49.875,49.875,50,50.625,50.875,51.625,52,52.25,52.5,52.75,52.875,53,52.75,52.5,52.375,52.125,51.875,51.75,51.5,51.25,51,51,50.75,50.625,50.625,50.625,50.375,50.25,50.125,50.125,50.125,50.125,50.25,50.625
46.125,46,46,45.875,46,46,46.125,46.125,46.375,46.5,46.75,46.875,47,47.375,47.625,47.875,48.25,48.375,48.75,49.125,49.375,49.75,50.125,50.5,50.875,51.375,51.625,51.75,51.875,52.125,52.25,52.25,52,52,52,51.625,51.5,51.5,51.375,51.125,50.875,50.625,50.625,50.375,50.375,50.125,49.75,49.75,49.75,50
47.25,47.375,47.25,47.25,47.125,47.25,47.25,47.375,47.625,47.625,47.625,47.5,47.75,47.875,48.25,48.375,48.625,48.75,49,49.25,49.625,50.125,50.625,50.875,51.125,51.5,51.75,52,52.25,52.5,52.625,52.5,52.625,52.625,52.375,52.375,52.125,52.125,51.875,51.75,51.375,51.375,51.125,50.75,50.625,50.375,50.25,50.25,50.25,50.25
45.875,45.875,46,45.875,46.125,46.125,46.25,46.25,46.375,46.5,46.625,46.75,46.875,47,47.125,47.25,47.5,47.625,47.75,48,47.875,48,48.5,49,49.25,49.625,49.875,50.125,49.875,50.125,50.125,50.375,50.5,50.5,50.25,50.125,50.125,50.125,50,49.875,49.625,49.5,49,48.625,48.5,48.25,48,47.875,48,48.125
45.125,45.375,45.375,45.5,45.625,45.75,45.875,46.125,46.125,46.125,46.25,46.25,46.375,46.625,46.75,47,47.25,47.25,47.375,47.875,48,48.25,48.375,48.5,48.75,48.625,48.75,49,49,49,49.125,48.875,48.875,48.75,48.75,48.625,48.25,48.125,48.25,48,47.875,47.875,47.625,47.5,47.125,46.875,46.875,47,47.125,47.25
44.75,44.75,44.625,44.625,44.625,44.875,45,45.125,45.375,45.25,45.5,45.625,45.75,46,45.75,46,46,45.875,45.75,46.125,46.5,47,47.25,47.375,47.625,47.75,47.75,47.875,48.25,48.25,48.25,48.25,48.25,48.375,48.375,48.25,48,48.125,48,47.875,48.125,48,47.5,47.25,47,46.875,46.625,46.75,47,47.5
43.5,43.5,43.375,43.375,43.375,43.5,43.5,43.5,43.75,43.875,44,44.125,44.125,44.375,44.5,44.75,44.75,44.875,45,45.25,45.5,45.75,46,46.375,46.625,47,47.25,47.375,47.625,47.875,48,47.875,48,48.125,48.25,48.25,48.125,48.125,47.875,47.875,47.75,47.5,47.5,47.375,47,46.75,46.5,46.375,46.375,46.75
43.875,43.875,43.875,43.875,43.875,43.875,44,44,44.375,44.375,44.25,44.125,44.375,44.375,44.625,44.75,44.875,44.875,45,45.125,45.375,45.75,46.25,46.375,46.75,46.875,47.125,47.5,47.75,47.875,48,48,48.125,48,48,48.125,47.875,47.75,47.375,47.375,47.375,47.125,46.875,46.625,46.5,46.125,45.875,45.875,46.125,46.75
