4.5,4.25,4.125,4,4,3.75,3.75,3.875,4,4,4,4,4.125,4.125,4.25,4.25,4.125,4.375,4.375,4.375,4.875,4.625,4.625,4.625,4.625,4.5,4.5,4.75,4.625,4.5,4.75,4.625,4.625,4.875,4.75,5.125,5.125,5.125,5.125,5,5.125,5.125,5.25,5.5,5.625,5.375,5.5,5.875,6.375,7.25
5.75,5.625,5.75,5.5,5.625,5.5,5.5,5.5,5.5,5.625,5.5,5.5,5.625,5.75,5.875,5.625,5.625,5.875,5.875,5.875,6,6,6.375,6.75,6.875,7,7.25,7.125,7.125,7.375,7.5,7.625,7.875,7.75,8,8.25,8.375,8.125,8,8,7.75,7.5,7.625,7.5,7.625,7.5,7.5,7.75,8.625,9.875
7.5,7.625,7.75,7.75,7.625,7.625,7.625,7.625,7.625,7.75,7.75,7.5,7.75,7.875,8.25,8.25,8.25,8.625,8.875,8.75,8.75,8.625,9,9.125,9.125,9,9.25,9.5,9.25,9.25,9.5,9.625,9.625,9.625,9.5,9.75,9.625,9.5,9.5,9.25,9.125,8.875,9.125,9,8.75,8.625,8.875,9.25,10.25,11.625
9.75,9.625,9.75,9.625,9.75,9.75,9.75,9.75,9.875,9.875,9.875,9.75,9.75,9.875,10,10,10.375,10.5,10.375,10.375,10.625,10.625,10.5,10.625,10.5,10.625,10.625,10.625,10.75,10.625,10.5,10.625,10.625,10.5,10.75,10.625,10.5,10.5,10.5,10.375,10.375,10.375,10,10.125,10,10.125,10.125,10.25,10.625,11.375
11.25,11.25,11.25,11.25,11.375,11.25,11.375,11.25,11.125,11.5,11.625,11.5,11.625,11.5,11.75,12,12.125,12.25,12.25,12.375,12.375,12.5,12.5,12.625,12.75,12.875,12.875,12.875,12.875,12.75,13,12.875,12.75,12.875,13.125,13,13,12.875,12.875,12.75,12.75,12.625,12.625,12.5,12.75,12.75,12.625,12.625,12.875,13.5
13.125,13,12.75,12.5,12.5,12.25,12.375,12.5,12.375,12.75,12.625,12.625,12.875,12.875,13,13.25,13.25,13.375,13.625,13.75,14.625,14.375,14.375,14.5,14.5,14.75,14.75,14.875,15.125,15.25,15.25,15.25,15.375,15.25,15.125,15.25,15.125,15,14.875,14.875,14.625,14.75,14.75,15.125,15,14.875,15,15.125,15.375,15.75
14.75,14.625,14.5,14.125,14.125,14,14,14.125,14,14.125,14.25,14.375,14.25,14.5,15,14.75,15,15.125,15.125,15.25,15.625,16,16.625,16.75,17.375,17.5,17.5,17.625,18,17.875,18,18,18,17.875,17.75,17.75,17.625,17.5,17.125,17.125,16.875,16.875,16.75,16.625,16.75,16.875,16.875,16.875,17.25,17.625
18.625,18.5,18.125,18,18.125,18.25,18.125,18.125,18.125,18.125,18.25,18.125,18.5,18.5,19,19.125,19.375,19.875,20.125,20.25,20.625,20.875,21.25,21.75,21.875,21.875,22.125,22.25,22,21.75,21.625,21.375,21.25,20.875,20.625,20.375,20.375,20.25,20.125,19.875,19.5,19.625,19.5,19.5,19.5,19.5,19.5,19.875,20.125,20.625
22.625,22.5,22.25,22.125,22.125,22.25,22.25,22.125,22.125,22.125,22.125,22.125,22.25,22.375,22.625,22.875,23.25,23.625,23.875,24,24.5,24.75,25,25.25,25.5,25.5,25.625,25.25,25.125,24.875,24.5,24.125,23.75,23.375,23.25,23,22.625,22.625,22.5,22.25,22.375,22.375,22,22,22,22.25,22.375,22.5,22.625,22.75
27.625,27.5,27.25,27.25,27.125,27,27,27,26.875,27,27.125,27.125,27.25,27.25,27.25,27.375,27.625,27.875,28.125,28.375,28.625,28.875,29.125,29.375,29.375,29.375,29.375,29.125,28.875,28.5,28,27.75,27.625,27.5,27.25,27.125,26.875,26.75,26.75,26.75,26.75,26.75,26.625,26.875,26.875,26.875,27.125,27.125,27.125,27.25
