23.25,23.25,23.125,23.25,23.25,23.25,23.25,23.25,23.375,23.375,23.375,23.25,23.25,23.25,23.25,23.25,23.25,23.25,23.375,23.375,23.375,23.375,23.375,23.375,23.25,23.375,23.375,23.375,23.375,23.375,23.375,23.5,23.5,23.5,23.625,23.5,23.375,23.375,23.375,23.375,23.375,23.25,23.25,23.25,23.25,23.25,23.25,23.25,23.125,23.125
26.875,27,27,27,26.875,27,27.125,27.25,27.25,27.25,27.25,27.25,27.375,27.375,27.5,27.5,27.5,27.5,27.375,27.375,27.375,27.375,27.375,27.5,27.5,27.625,27.625,27.75,27.875,27.875,27.75,27.75,27.875,27.875,27.875,27.875,27.875,27.75,27.625,27.625,27.75,27.75,27.625,27.625,27.5,27.375,27.375,27.25,27.25,27.125
28.75,28.75,28.75,28.75,28.875,29,29,29,29.125,29.125,29.25,29.375,29.375,29.375,29.375,29.375,29.5,29.375,29.375,29.5,29.625,29.625,29.625,29.75,29.75,29.875,29.875,30,30,30,30,30.125,30.125,30.25,30.25,30.25,30.125,30.125,30.125,30,30,30,30,29.75,29.625,29.5,29.5,29.5,29.375,29.375
30.5,30.5,30.375,30.375,30.625,30.625,30.75,30.875,31,31,31.125,31.125,31.25,31.375,31.375,31.375,31.5,31.5,31.625,31.75,31.875,31.875,31.875,32,32,32.125,32.125,32.25,32.25,32.375,32.5,32.5,32.5,32.5,32.625,32.625,32.625,32.75,32.75,32.75,32.5,32.375,32.375,32.25,32.25,32.125,31.875,31.75,31.625,31.625
33.125,33.125,33.125,33.25,33.25,33.25,33.25,33.5,33.625,33.5,33.5,33.5,33.75,33.75,33.75,33.875,34,33.875,34,34,34.125,34.125,34.25,34.375,34.5,34.5,34.5,34.5,34.625,34.75,34.75,34.75,34.75,34.75,35,35,35,35.125,35.125,35.125,34.875,34.875,34.875,34.625,34.5,34.5,34.375,34.25,34,33.875
33.25,33.25,33.25,33.25,33.375,33.375,33.375,33.625,33.625,33.625,33.75,33.875,34,34,34.125,34,34,33.875,34,34,34,34.25,34.375,34.375,34.375,34.5,34.5,34.625,34.5,34.625,34.625,34.625,34.75,34.75,34.75,34.75,34.875,35,35.125,35.125,34.875,34.875,34.75,34.5,34.5,34.375,34.125,34,33.875,33.75
34.375,34.375,34.375,34.375,34.375,34.375,34.625,34.625,34.625,34.75,34.75,34.875,34.875,35,35.125,35.125,35,34.875,35,35.125,35.25,35.5,35.5,35.5,35.625,35.625,35.625,35.625,35.75,35.875,35.875,35.875,35.875,35.75,35.75,35.75,35.75,35.875,35.875,35.75,35.625,35.625,35.375,35.375,35.125,35,35,34.875,34.75,34.5
35.625,35.625,35.625,35.625,35.75,35.75,35.75,36,36,36,36,36,36.25,36.25,36.375,36.375,36.375,36.25,36.25,36.25,36.375,36.5,36.625,36.75,36.75,36.75,36.625,36.75,36.875,36.875,37,37,36.875,36.875,36.875,36.875,37,37,37,37,36.875,36.875,36.625,36.5,36.375,36.25,36.125,35.875,35.75,35.5
36.5,36.375,36.375,36.375,36.375,36.375,36.5,36.625,36.625,36.75,36.75,36.875,37,37,37.125,37.125,37,37.125,37.25,37.25,37.375,37.375,37.25,37.375,37.5,37.625,37.625,37.75,37.875,38,38,37.875,37.875,38,38,37.875,37.875,37.875,37.875,37.875,37.75,37.75,37.625,37.5,37.5,37.375,37.125,37,36.875,36.75
38.375,38.25,38.375,38.375,38.375,38.5,38.5,38.625,38.625,38.625,38.625,38.75,38.875,38.875,39,39.125,39,39,39.125,39.25,39.375,39.375,39.25,39.375,39.625,39.75,39.875,39.875,40,40.125,40.125,40,40.125,40.125,40,40,39.75,39.75,39.75,39.625,39.75,39.625,39.5,39.375,39.375,39.125,38.875,38.625,38.5,38.5
39.125,39.25,39.25,39.25,39.25,39.25,39.375,39.375,39.5,39.5,39.625,39.625,39.75,39.875,40,40,39.875,39.75,39.875,40.125,40.25,40.125,40,40.25,40.375,40.625,40.75,40.75,41,41,40.875,40.875,41.125,41,40.875,40.75,40.625,40.625,40.375,40.25,40,40,40,39.875,39.875,39.75,39.75,39.5,39.375,39.125
39.5,39.375,39.5,39.5,39.5,39.625,39.75,39.75,39.875,39.875,39.875,40.125,40.125,40.25,40.25,40.25,40,40.125,40.25,40.375,40.625,40.5,40.5,40.625,40.75,40.875,40.75,40.875,40.875,40.875,41,41,40.875,41,40.625,40.5,40.375,40,39.875,39.75,39.875,39.75,39.5,39.625,39.625,39.625,39.5,39.375,39.25,39
40,40,40.125,40.125,40.125,40.125,40.25,40.375,40.5,40.5,40.625,40.75,40.75,41,41.125,40.875,40.625,40.875,41,41.25,41.375,41.25,41.375,41.625,41.75,41.75,41.625,41.75,41.875,41.875,41.875,41.75,41.875,41.75,41.5,41.375,41,41.125,40.875,40.75,40.75,40.5,40.5,40.625,40.625,40.625,40.375,40.25,40,39.625
40.375,40.5,40.5,40.5,40.625,41,41,41.25,41.375,41.5,41.625,41.625,41.75,41.875,42,42.125,42.125,42.25,42.375,42.375,42.5,42.25,42.125,42,42.125,42.125,42.25,42.25,42.25,42,42.125,42.375,42.125,42.125,42.125,42,42,41.625,41.5,41.5,41.375,41.5,41.125,41.25,41.375,41.375,41.25,41.125,41.125,41.125
42.375,42.125,42.25,42.25,42.375,42.625,42.625,42.75,42.75,43,43.25,43.375,43.375,43.5,43.625,43.75,43.75,43.75,43.875,44,44,44,43.75,43.875,44,44.25,44.25,44.25,44.125,44,44,44.375,44.125,44.375,44.375,44.125,44.25,44,44,43.875,43.875,43.875,43.875,44,44.125,44,43.75,43.625,43.875,44
44,43.875,43.625,43.5,43.5,43.5,43.625,43.875,44.25,44.25,44.375,44.375,44.75,45,45.125,45.125,45.125,45.25,45.375,45.5,46.25,46,45.875,45.875,46,46.125,46.25,46.5,46.5,46.5,46.75,46.75,46.75,46.875,46.625,46.875,46.75,46.625,46.5,46.25,46.375,46.375,46.375,46.625,46.625,46.25,46.25,46.375,46.75,47.375
45,44.875,44.875,44.625,44.75,44.75,44.875,45,45.125,45.25,45.375,45.5,45.75,45.75,46,45.875,46,46.125,46.25,46.375,46.625,46.75,47.25,47.625,47.875,48.25,48.375,48.5,48.5,48.875,49,49.125,49.25,49.125,49.375,49.375,49.375,49.25,49,48.875,48.5,48.25,48.125,48,48,47.75,47.75,47.875,48.5,49.5
44,44.125,44.25,44.25,44.375,44.5,44.625,44.75,44.875,45,45,45,45.25,45.25,45.75,45.875,45.875,46.125,46.5,46.5,46.625,46.75,47,47.25,47.375,47.5,47.75,47.875,47.75,48,48.25,48.375,48.25,48.25,48.125,48.25,48.125,47.875,47.875,47.625,47.25,47,47,46.875,46.5,46.25,46.25,46.5,47.25,48.5
45.75,45.75,45.75,45.75,46,46,46.125,46.25,46.375,46.5,46.625,46.5,46.625,46.875,47,47.125,47.375,47.5,47.5,47.625,48,48,48,48.125,48.125,48.25,48.375,48.375,48.5,48.5,48.5,48.625,48.625,48.5,48.625,48.5,48.375,48.375,48.375,48.25,48.25,48,47.625,47.75,47.5,47.375,47.25,47.375,47.625,48.25
47,47,46.875,47.125,47.25,47.375,47.5,47.625,47.625,47.875,48.125,48.25,48.25,48.375,48.5,48.75,48.875,49,49,49.25,49.375,49.5,49.625,49.875,50.125,50.375,50.375,50.375,50.5,50.5,50.75,50.75,50.625,50.75,51,50.875,50.875,50.75,50.75,50.625,50.625,50.375,50.375,50.25,50.25,50.125,50,49.875,50,50.5
48.875,48.75,48.5,48.25,48.125,48.125,48.375,48.625,48.75,49,49,49.125,49.375,49.5,49.875,50,50,50.25,50.5,50.625,51.625,51.5,51.625,51.875,51.875,52.25,52.375,52.625,52.875,53.125,53.25,53.25,53.375,53.375,53.25,53.375,53.375,53.25,53.125,53.125,52.875,52.875,52.75,53,52.875,52.625,52.5,52.5,52.625,52.875
